iso_code,cardiovasc_death_rate,diabetes_prevalence
AFG,597.029,9.59
ALB,304.195,10.08
DZA,278.364,6.73
AND,109.135,7.97
AGO,276.045,3.94
AIA,,
ATG,191.511,13.17
ARG,191.032,5.5
ARM,341.01,7.11
ABW,,11.62
AUS,107.791,5.07
AUT,145.183,6.35
AZE,559.812,7.11
BHS,235.954,13.17
BHR,151.689,16.52
BGD,298.003,8.38
BRB,170.05,13.57
BLR,443.129,5.18
BEL,114.898,4.29
BLZ,176.957,17.11
BEN,235.848,0.99
BMU,139.547,13
BTN,217.066,9.75
BOL,204.299,6.89
BES,,
BIH,329.635,10.08
BWA,237.372,4.81
BRA,177.961,8.11
VGB,,13.67
BRN,201.285,12.79
BGR,424.688,5.81
BFA,269.048,2.42
BDI,293.068,6.05
KHM,270.892,4
CMR,244.661,7.2
CAN,105.599,7.37
CPV,182.219,2.42
CYM,,13.22
CAF,435.727,6.1
TCD,280.995,6.1
CHL,127.993,8.46
CHN,261.899,9.74
COL,124.24,7.44
COM,261.516,11.88
COG,344.094,7.2
COK,,
CRI,137.973,8.78
CIV,303.74,2.42
HRV,253.782,5.59
CUB,190.968,8.27
CUW,,11.62
CYP,141.171,9.24
CZE,227.485,6.82
COD,318.949,6.1
DNK,114.767,6.41
DJI,258.037,6.05
DMA,227.376,11.62
DOM,266.653,8.2
ECU,140.448,5.55
EGY,525.432,17.31
SLV,167.295,8.87
GNQ,202.812,7.78
ERI,311.11,6.05
EST,255.569,4.02
SWZ,333.436,3.94
ETH,182.634,7.47
FRO,,
FLK,,
FJI,412.82,14.49
FIN,153.507,5.76
FRA,86.06,4.77
PYF,,22.63
GAB,259.967,7.2
GMB,331.43,1.91
GEO,496.218,7.11
DEU,156.139,8.31
GHA,298.245,4.97
GIB,,
GRC,175.695,4.55
GRL,199.941,2.16
GRD,243.964,10.71
GTM,155.898,10.18
GGY,,
GIN,336.717,2.42
GNB,382.474,2.42
GUY,373.159,11.62
HTI,430.548,6.65
HND,240.208,7.21
HKG,,8.33
HUN,278.296,7.55
ISL,117.992,5.31
IND,282.28,10.39
IDN,342.864,6.32
IRN,270.308,9.59
IRQ,218.612,8.83
IRL,126.459,3.28
IMN,,
ISR,93.32,6.74
ITA,113.151,4.78
JAM,206.537,11.28
JPN,79.37,5.72
JEY,,
JOR,208.257,11.75
KAZ,466.792,7.11
KEN,218.637,2.92
KIR,434.657,22.66
KWT,132.235,15.84
KGZ,436.362,7.11
LAO,368.111,4
LVA,350.06,4.91
LBN,266.591,12.71
LSO,405.126,3.94
LBR,272.509,2.42
LBY,341.862,10.43
LIE,,7.77
LTU,342.989,3.67
LUX,128.275,4.42
MAC,,
MDG,405.994,3.94
MWI,227.349,3.94
MYS,260.942,16.74
MDV,164.905,9.19
MLI,268.024,2.42
MLT,168.711,8.83
MHL,557.793,30.53
MRT,232.347,2.42
MUS,224.644,22.02
MEX,152.783,13.06
FSM,454.343,12.02
MDA,408.502,5.72
MCO,,5.46
MNG,460.043,4.82
MNE,387.305,10.08
MSR,,
MAR,419.146,7.14
MOZ,329.942,3.3
MMR,202.104,4.61
NAM,243.811,3.94
NPL,260.797,7.26
NLD,109.361,5.29
NCL,,23.36
NZL,128.797,8.08
NIC,137.016,11.47
NER,238.339,2.42
NGA,181.013,2.42
MKD,322.688,10.08
NOR,114.316,5.31
OMN,266.342,12.61
PAK,423.031,8.35
PLW,,15.89
PSE,265.91,10.59
PAN,128.346,8.33
PNG,561.494,17.65
PRY,199.128,8.27
PER,85.755,5.95
PHL,370.437,7.07
POL,227.331,5.91
PRT,127.842,9.85
QAT,176.69,16.52
ROU,370.946,9.74
RUS,431.297,6.18
RWA,191.375,4.28
SHN,,
KNA,,12.84
LCA,204.62,11.62
SPM,,
VCT,252.675,11.62
WSM,348.977,9.21
SMR,,5.64
STP,270.113,2.42
SAU,259.538,17.72
SEN,241.219,2.42
SRB,439.415,10.08
SYC,242.648,10.55
SLE,325.721,2.42
SGP,92.243,10.99
SXM,,
SVK,287.959,7.29
SVN,153.493,7.25
SLB,459.78,18.68
SOM,365.769,6.05
ZAF,200.38,5.52
KOR,85.998,6.8
SSD,280.775,10.43
ESP,99.403,7.17
LKA,197.093,10.68
SDN,431.388,15.67
SUR,258.314,12.54
SWE,133.982,4.79
CHE,99.739,5.59
SYR,376.264,
TWN,103.957,
TJK,427.698,7.11
TZA,217.288,5.75
THA,109.861,7.04
TLS,335.346,6.86
TGO,280.033,6.15
TON,227.49,15.42
TTO,228.467,10.97
TUN,318.991,8.52
TUR,171.285,12.13
TCA,,
UGA,213.333,2.5
UKR,539.849,7.11
ARE,317.84,17.26
GBR,122.137,4.28
USA,151.089,10.79
URY,160.708,6.93
UZB,724.417,7.57
VUT,546.3,12.02
VAT,,
VEN,204.85,6.47
VNM,245.465,6
WLF,,
YEM,495.003,5.35
ZMB,234.499,3.94
ZWE,307.846,1.82
