iso_code,location,date,new_deaths_smoothed_per_million,new_vaccinations_smoothed_per_million
AFG,Afghanistan,31/12/2021,0.029,
ALB,Albania,31/12/2021,1.492,
DZA,Algeria,31/12/2021,0.173,
AND,Andorra,31/12/2021,1.847,
AGO,Angola,31/12/2021,0.101,
AIA,Anguilla,31/12/2021,0,
ATG,Antigua and Barbuda,31/12/2021,1.447,
ARG,Argentina,31/12/2021,0.504,5975
ARM,Armenia,31/12/2021,1.588,
ABW,Aruba,31/12/2021,0,
AUS,Australia,31/12/2021,0.332,2883
AUT,Austria,31/12/2021,1.832,3477
AZE,Azerbaijan,31/12/2021,1.244,2362
BHS,Bahamas,31/12/2021,1.44,
BHR,Bahrain,31/12/2021,0,4879
BGD,Bangladesh,31/12/2021,0.015,
BRB,Barbados,31/12/2021,0,
BLR,Belarus,31/12/2021,1.694,
BEL,Belgium,31/12/2021,2.235,
BLZ,Belize,31/12/2021,3.528,
BEN,Benin,31/12/2021,0,
BMU,Bermuda,31/12/2021,9.203,
BTN,Bhutan,31/12/2021,0,
BOL,Bolivia,31/12/2021,1.811,
BES,Bonaire Sint Eustatius and Saba,31/12/2021,5.402,
BIH,Bosnia and Herzegovina,31/12/2021,7.573,
BWA,Botswana,31/12/2021,1.013,
BRA,Brazil,31/12/2021,0.453,1780
VGB,British Virgin Islands,31/12/2021,0,
BRN,Brunei,31/12/2021,0,
BGR,Bulgaria,31/12/2021,9.922,978
BFA,Burkina Faso,31/12/2021,0.007,
BDI,Burundi,31/12/2021,0,
KHM,Cambodia,31/12/2021,0.042,
CMR,Cameroon,31/12/2021,0,
CAN,Canada,31/12/2021,0.668,6730
CPV,Cape Verde,31/12/2021,0,
CYM,Cayman Islands,31/12/2021,0,
CAF,Central African Republic,31/12/2021,0,
TCD,Chad,31/12/2021,0,
CHL,Chile,31/12/2021,0.974,
CHN,China,31/12/2021,0,8849
COL,Colombia,31/12/2021,0.713,
COM,Comoros,31/12/2021,0.643,
COG,Congo,31/12/2021,0,
COK,Cook Islands,31/12/2021,,
CRI,Costa Rica,31/12/2021,,
CIV,Cote d'Ivoire,31/12/2021,0.037,
HRV,Croatia,31/12/2021,10.71,
CUB,Cuba,31/12/2021,0.063,
CUW,Curacao,31/12/2021,2.601,9478
CYP,Cyprus,31/12/2021,1.754,
CZE,Czechia,31/12/2021,11.203,3540
